scan,run,px,py,x,y,Unemployment,GDP Growth,Inflation,Pension Growth,YoungUnemp,OldUnemp,PensionBalEnd,Bankruptcies
mpc x birth,120,mpc-income,birth-count-shift,0.65,-1.0,0.0964642027770514,-0.0033092079311292737,0.0078008257411787945,0.00022012475697562054,0.11797139630409274,0.09081332817206444,3200.029053482906,37
mpc x birth,121,mpc-income,birth-count-shift,0.65,0.0,0.08592716559023457,-0.0012835669893721694,0.00716479010260423,0.0033748385130057336,0.10830929722558158,0.07945075490940953,3362.254283359892,38
mpc x birth,122,mpc-income,birth-count-shift,0.65,0.0,0.08921410590023979,-0.002325718414427518,0.007336903088165848,-0.005061399473532563,0.11469965821188732,0.08193769053664682,3072.166432589029,36
mpc x birth,123,mpc-income,birth-count-shift,0.65,0.0,0.08964145410605237,-0.0020389899837448926,0.00951062664261439,0.00029771589102327187,0.11656886361459406,0.08189628282058672,3240.208281401125,39
mpc x birth,124,mpc-income,birth-count-shift,0.65,0.0,0.08803092486506034,-0.0013003313859223237,0.007428976529581053,0.008091321416879045,0.10890368462234304,0.0819102036905796,3525.569548640975,39
mpc x birth,125,mpc-income,birth-count-shift,0.65,0.0,0.09213408355817124,-0.0012545524049370213,0.00894104288563173,0.001318383476863789,0.1171576364411498,0.08487727274499299,3319.5299583349874,34
mpc x birth,126,mpc-income,birth-count-shift,0.65,0.0,0.08785391226235302,-0.0008527063571966583,0.007697033876078298,0.003909362302388675,0.11585900144562962,0.07981818399001189,3396.264437291919,34
mpc x birth,127,mpc-income,birth-count-shift,0.65,0.0,0.08865523517454352,-0.00258108868322354,0.00890976923790268,0.0017628088942069687,0.11063390078415276,0.08226181612566166,3302.4389923407143,40
mpc x birth,128,mpc-income,birth-count-shift,0.65,0.0,0.08710081019568199,-0.0026258614603359488,0.009395804186249756,0.0038584121469645645,0.11168829370496561,0.08016306672192516,3402.463820195672,40
mpc x birth,129,mpc-income,birth-count-shift,0.65,0.0,0.09117296963817571,-0.0026161614602611236,0.008908455149711399,0.010383650626964076,0.11584547103850236,0.08393762386600637,3659.233329173074,39
mpc x birth,130,mpc-income,birth-count-shift,0.65,0.0,0.08320268239115022,-0.00104715261764426,0.007253117017532457,0.0011737760463786668,0.1078509708016721,0.07604910296395648,3299.2993408404573,35
mpc x birth,131,mpc-income,birth-count-shift,0.65,0.0,0.08527060365537634,-0.0017790748533915907,0.006372529330879826,0.00804465992251864,0.10551098426941656,0.07930391274772364,3560.370457561715,39
mpc x birth,132,mpc-income,birth-count-shift,0.65,0.0,0.08509614035544025,-0.0012260589530006798,0.011393095035782168,-0.0012078588475785998,0.11014813237526008,0.07813992958808424,3166.656779036924,39
mpc x birth,133,mpc-income,birth-count-shift,0.65,0.0,0.0855323099016447,-0.000239795051237595,0.007947375466206623,0.008283802767333533,0.11212764413905299,0.07793184363497241,3592.90764485798,36
mpc x birth,134,mpc-income,birth-count-shift,0.65,0.0,0.10080953851078862,-0.001922382667596094,0.009883243259034596,0.007100027696078751,0.12545530936760932,0.09379869202140109,3529.10214883039,37
mpc x birth,135,mpc-income,birth-count-shift,0.65,0.0,0.08418871316560532,-0.0019987962463059493,0.008262385037849509,0.002829590021167075,0.11273803195253715,0.07621574323216333,3345.9354651161448,40
