x,y,t,fund,unemp,gdp
0.55,181,22,4634.948676973362,0.05256593364730221,-0.006967842588081921
0.55,181,23,4674.502999921525,0.05285707340831461,-0.0034543842072490756
0.55,181,24,4710.762877950335,0.05399591250979719,-0.004680367561144888
0.55,181,25,4739.4583974792195,0.07084566023637866,0.0021625596285146935
0.55,181,26,4765.101142317284,0.06779814539873126,0.0007304866509675778
0.55,181,27,4788.787073301487,0.06260476354314976,0.004671450677775383
0.55,181,28,4810.751489250267,0.05533446644613757,0.0077746159587285145
0.55,181,29,4817.868757404786,0.06305385310879272,0.0012373047509560552
0.55,181,30,4824.258700681693,0.05518288792618438,0.0024451602095337116
0.55,181,31,4829.550510381372,0.04973737626272369,-0.00010099216945437689
0.55,181,32,4835.084257759837,0.04202337100734917,0.0058378987165169875
0.55,181,33,4817.40447401415,0.05304611106375878,0.003045044370160588
0.55,181,34,4796.400215093792,0.05136033239495827,0.0002512468951162743
0.55,181,35,4772.779876780836,0.04675077716975825,0.0038759067024712918
0.55,181,36,4745.913134039406,0.042912067347521905,0.0021002753597414306
0.55,181,37,4714.174015631568,0.05628507081794444,0.0036015192654653633
0.55,181,38,4680.197745672054,0.05248566612422641,0.0005440540920640498
0.55,181,39,4643.439001662906,0.05147655821029388,-0.0008266235611219905
0.55,181,40,4603.316018622248,0.053847994903840145,-0.003324938518066255
0.55,185,1,3376.6063118834045,0.042639446399399046,-0.011475873425726412
0.55,185,2,3456.3430626679724,0.03437253691011546,0.0032577928485460817
0.55,185,3,3536.8762852771692,0.02891853138803842,0.0009275070246860084
0.55,185,4,3618.401081239565,0.025200730404743566,0.0014253020334818911
0.55,185,5,3698.44928923475,0.041092107696364115,0.0019511367279008765
0.55,185,6,3778.6598036073196,0.037631526140313884,0.0035357241046101366
0.55,185,7,3857.654538183976,0.03721482622522899,0.0015281439505917026
0.55,185,8,3934.696556540224,0.035345240173624344,0.001466569145699677
0.55,185,9,4021.4406483261064,0.05216388122240871,0.001733067586181467
0.55,185,10,4108.227129718412,0.05005026621533073,0.0030709232262202233
0.55,185,11,4194.576986274865,0.048994701166793345,0.0024967909799716603
0.55,185,12,4280.401889610451,0.04890737993020596,0.0024561907860208804
0.55,185,13,4362.787862740492,0.06268877447126339,0.0021803519030454913
0.55,185,14,4445.22394785917,0.057482643312587435,0.00248307237095101
0.55,185,15,4527.824285515545,0.05251856615515491,0.002624852254904016
0.55,185,16,4610.024766016474,0.04782382487730181,0.002572357981970116
0.55,185,17,4685.566236203958,0.05980101946780308,0.0015566129035630952
0.55,185,18,4760.244970118824,0.05347647331535198,0.0020190653857881675
0.55,185,19,4833.853404878387,0.04999765334173422,-0.001009791178735032
0.55,185,20,4905.468034975328,0.050106052296011803,-0.005883506044893502
0.55,185,21,4968.2020298978505,0.07150879147507225,-0.008109777878740124
0.55,185,22,5028.67717836557,0.07217752163841704,-0.0019188604235193447
0.55,185,23,5086.54720104593,0.07513990187089731,-0.002944066602757227
0.55,185,24,5142.669567384846,0.07318987202155773,-0.004436294020842795
0.55,185,25,5192.052986789072,0.08991958242192562,0.0007207223882850601
0.55,185,26,5239.814209059226,0.08739858986484839,0.0016251448540498365
0.55,185,27,5285.942942225258,0.08242651739301453,0.0076716758677317495
0.55,185,28,5330.747802266471,0.07723796452277518,0.0015748226511686219
0.55,185,29,5358.65044145895,0.08492051067390219,0.0057412800311368575
0.55,185,30,5386.499833894337,0.07656885257424552,0.0010263497368090393
0.55,185,31,5414.631770234117,0.0673240532430059,0.007757296221542446
0.55,185,32,5442.332309572155,0.06089159927002771,0.0021331907490027982
0.55,185,33,5443.7063480785,0.07018455955118376,0.005340259142320138
0.55,185,34,5442.133746513782,0.06666022783847053,0.0013490263455650377
0.55,185,35,5437.4456212684,0.06319536323630312,0.0025272032862030122
0.55,185,36,5429.0521660751865,0.05962841238860239,0.0023581397716367133
0.55,185,37,5423.11122735942,0.07296199087180355,0.002958917922304805
0.55,185,38,5414.434465540111,0.07288623838978663,0.0002665841880246129
0.55,185,39,5402.3362511208425,0.07485075613841632,-0.003034112486920828
0.55,185,40,5385.927105363034,0.07792140215877458,-0.0029222012035435793
0.55,189,1,3392.583630407643,0.04879643482110204,-0.007815874708409304
0.55,189,2,3487.2049366414585,0.04527972785934866,0.0021294960979899233
0.55,189,3,3583.4668503233934,0.040777460293427235,0.0016878337886979766
0.55,189,4,3681.0437540376606,0.03744969866109861,0.001423204923384054
0.55,189,5,3777.036115106844,0.05284270573778998,0.0018769295683309403
0.55,189,6,3872.133077765066,0.05173249878178416,0.0016985608169639485
0.55,189,7,3966.862574963288,0.050937413505841946,0.0018885615305629555
0.55,189,8,4061.070986390924,0.05084892934262153,0.0019336442234103716
0.55,189,9,4165.856398127203,0.06801387660228739,0.0017412748485321071
0.55,189,10,4270.219852352361,0.06756099319238845,0.0024273479511221544
0.55,189,11,4373.468320311736,0.06795907834622877,0.00198563311905957
0.55,189,12,4476.431499511947,0.06729261736146047,0.0031398878270455888
0.55,189,13,4575.755071055256,0.08116330288876379,0.0021116720190307225
0.55,189,14,4674.994863570447,0.07642617460363405,0.0028039588408887302
0.55,189,15,4774.88904226971,0.07073508828016105,0.003586440012901287
0.55,189,16,4874.777582808117,0.06596985849107048,0.002851975325799436
0.55,189,17,4968.180909493716,0.0776194223782702,0.002137567984733259
0.55,189,18,5060.7930038272425,0.07480328892156628,-0.0010669619049436068
0.55,189,19,5151.506365673058,0.07284045765193167,-0.001151851746767819
0.55,189,20,5239.612034614413,0.07446459434864015,-0.007912816323380487
0.55,189,21,5316.840109344512,0.0970287156885776,-0.009631422163571452
0.55,189,22,5390.710319731153,0.10204509954453558,-0.01150882353951973
0.55,189,23,5462.90424959986,0.10214502349723317,0.0009910097265582877
0.55,189,24,5535.243401720171,0.09677901283954156,0.00028478976591732026
0.55,189,25,5601.161126962101,0.11053702483266921,0.007075500428537931
0.55,189,26,5666.362939355552,0.10423390037118156,0.0032504741207661715
0.55,189,27,5732.386915439544,0.09600360571422738,0.005066516453092963
0.55,189,28,5798.672896705056,0.08990452917686818,0.00570227766733562
0.55,189,29,5847.810445593605,0.09757274840280371,0.004949205916784589
0.55,189,30,5897.223933304526,0.09013084968563284,0.0063383630424578095
0.55,189,31,5945.959739795105,0.0850163465841788,0.002015304312130785
0.55,189,32,5993.225664668822,0.08036784431747893,0.0027226753005915503
0.55,189,33,6010.913600462937,0.09088001017112629,0.0030307246930619714
0.55,189,34,6026.19006609584,0.0863788469358552,0.006530867351172063
0.55,189,35,6037.879575344667,0.08422451350441193,0.0015314340827818182
0.55,189,36,6046.3532854506675,0.0814165371935567,0.002737340418404764
0.55,189,37,6063.676331427796,0.09722199817087404,-0.002991505650536401
0.55,189,38,6077.211633150463,0.10223136070874815,-0.003990776786389697
0.55,189,39,6086.606231749248,0.1105337440818359,-0.00867304017553757
0.55,189,40,6090.4894893705305,0.12289413403392069,-0.011356017014048819
0.55,193,1,3410.5045556997807,0.05625595042691187,-0.0048322951169519094
0.55,193,2,3522.345697166969,0.056765800081255556,0.0017301376403664195
0.55,193,3,3634.586046932446,0.05591654160299196,0.00046783174917054937
0.55,193,4,3747.8462541341764,0.05337524684752429,0.0008029244060094946
0.55,193,5,3860.4513169490533,0.06791579023300924,0.0018183090689330701
0.55,193,6,3972.7310621704532,0.06742928321265437,0.0018928996523762292
0.55,193,7,4083.5272639004024,0.06779440386489884,0.0011990335009448808
0.55,193,8,4193.247155123882,0.06756836406466508,0.0014529375008199956
0.55,193,9,4313.323237862238,0.08368359811148365,0.0018483723439621964
0.55,193,10,4433.284292694944,0.0832905563512314,0.0027283666326583635
0.55,193,11,4552.891327802564,0.08330905924187886,0.002571122758307985
0.55,193,12,4671.799657520003,0.08438788457501317,0.0021433877531139263
0.55,193,13,4787.218098510045,0.09700295821705963,0.002527458386922811
0.55,193,14,4903.656975835399,0.09298209031746942,0.0032416267558270347
0.55,193,15,5020.544403018337,0.08855000789913606,0.0027581614067085296
0.55,193,16,5137.829238715259,0.08422673750443002,0.0035027467520595363
0.55,193,17,5247.912728131907,0.09551740149397206,0.0015543681766650962
0.55,193,18,5357.076507380045,0.09165155856859529,0.0010742706793427865
